Manufacturer Part Number	Digi-Key Part Number	Description	Manufacturer	Packaging	PnP Feeder	Unit Price
0457180002	WM10849-ND	CONN HEADER VERT 6POS 4.2MM			Hand	1.0212
J1B1211CCD	1278-1052-ND	CONN JACK 1PORT 100 BASE-T PCB	WIZnet	Bulk	Hand	
0821-1X1T-32-F	507-2444-ND	CONN JACK 1PORT 1000 BASE-T PCB	Bel Fuse Inc.	Tray	Hand	
13F-64GYD2PL2NL	NA	CONN JACK RJ45 12 1 Shielded Green - Yellow Through Hole Ethernet Connectors	Shanghai YDS Tech	Tray	Hand	
114-00841-68	114-00841-68-6-ND	CONN MICRO SD CARD PUSH-PULL R/A	Amphenol ICC (Commercial Products)	Digi-Reel	24mm x 4mm	
114-00841-68	114-00841-68-1-ND	CONN MICRO SD CARD PUSH-PULL R/A			24mm x 4mm	0.88616
0855437002	WM14372TR-ND	CONN MOD JACK 8P8C R/A SHIELDED			Hand	2.41242
A-2014-2S-4-N-R	AE10399-ND	CONN MOD JACK 8P8C VERT SHIELDED			Hand	0.902
5025780600	WM15814-ND	CONN PLUG HSG 6CKT BEIGE			Hand	0.18744
SSQ-105-03-T-D	SAM1204-05-ND	CONN RCPT 10POS 0.1 TIN PCB			Hand	0.7762
SSQ-120-03-T-D	SAM1204-20-ND	CONN RCPT 40POS 0.1 TIN PCB			Hand	2.9636
0015247040	WM17600-ND	CONN RCPT 4POS 0.165 TIN PCB			Hand	1.0978
0455590002	WM10848-ND	CONN RCPT HSG 6POS 4.20MM			Hand	0.2518
10118192-0002LF	609-5379-2-ND	CONN RCPT USB2.0 MICRO B SMD R/A	Amphenol ICC (FCI)	Tape & Reel (TR)	12mm x 4mm	
65100516121	732-2109-6-ND	CONN RCPT USB2.0 MINI B SMD R/A			Hand	1.056
87583-3010RPALF	609-4946-2-ND	CONN RCPT USB2.0 TYPEA 4P SMD RA	Amphenol ICC (FCI)	Tape & Reel (TR)	Hand	
UJ2-AV-1-SMT-TR	102-4132-6-ND	CONN RCPT USB2.0 TYPEA 4POS SMD			Hand	0.8686
UJ2-BH-1-TH	102-3999-ND	CONN RCPT USB2.0 TYPEB 4POS R/A			Hand	0.4056
ESW-105-49-G-D-LL	ESW-105-49-G-D-LL-ND	CONN SOCKET 10POS 0.1 GOLD PCB			Hand	3.09
0039000077	WM3112CT-ND	CONN SOCKET 16AWG CRIMP TIN			Hand	0.0294
ESQ-110-24-T-D	SAM15580-ND	CONN SOCKET 20POS 0.1 TIN PCB			Hand	2.928
ESQ-120-49-G-D	SAM12412-ND	CONN SOCKET 40POS 0.1 GOLD PCB			Hand	10.802
ESQ-120-24-G-D	SAM9316-ND	CONN SOCKET 40POS 0.1 GOLD PCB			Hand	9.834
CRGCQ0805F12K	A129762TR-ND	CRGCQ 0805 12K 1%			8mm x 4mm	0.00576
CRGP0402F10K	A130367DKR-ND	CRGP 0402 10K 1%			8mm x 2mm	0.01238
CRGP0402F1K0	A130355TR-ND	CRGP 0402 1K0 1%			8mm x 2mm	0.00985
CRGP0402F470R	A130351DKR-ND	CRGP 0402 470R 1%			8mm x 2mm	0.01238
LFXTAL069395REEL	1923-1355-1-ND	CRYSTAL 16.3840MHZ 10PF SMD	IQD Frequency Products	Tape & Reel (TR)	12mm x 4mm	0.494
LFXTAL059528REEL	1923-1272-6-ND	CRYSTAL 16.3840MHZ 18PF SMD	IQD Frequency Products	Tape & Reel (TR)	12mm x 4mm	1.321
FA-238 24.0000MB-C3	SER3689TR-ND	CRYSTAL 24.0000MHZ 18PF SMD	EPSON	Tape & Reel (TR)	12mm x 4mm	
FA-238 25.0000MB-B3	SER4255TR-ND	CRYSTAL 25.0000MHZ 16PF SMD	EPSON	Tape & Reel (TR)	12mm x 4mm	
NX3225SA-32M-EXS00A-02994	644-1251-6-ND	CRYSTAL 32.0000MHZ 16PF SMD	"NDK America, Inc."	Tape & Reel (TR)	12mm x 4mm	0.5735
ABS07-32.768KHZ-T	535-9542-6-ND	CRYSTAL 32.7680KHZ 12.5PF SMD	Abracon LLC	Tape & Reel (TR)	12mm x 4mm	
ABLS-8.192MHZ-B2-T	535-9090-6-ND	CRYSTAL 8.1920MHZ 18PF SMD	Abracon LLC	Tape & Reel (TR)	12mm x 4mm	0.358
RFM-0505S	945-3159-ND	DC DC CONVERTER 5V 1W				1.24
ADUM3160BRWZ-RL	ADUM3160BRWZ-RLCT-ND	DGT ISOL 2500VRMS 2CH USB 16SOIC			16mm x 4mm	5.338
B340A-13-F	B340A-FDICT-ND	DIODE SCHOTTKY 40V 3A SMA			8mm x 4mm	0.10959
742792796	732-2132-1-ND	FERRITE BEAD 1 KOHM 0402 1LN			8mm x 2mm	0.141
742792662	732-4670-6-ND	FERRITE BEAD 1 KOHM 0603 1LN			8mm x 2mm	0.148
BLM18PG121SN1D	490-1037-2-ND	FERRITE BEAD 120 OHM 0603 1LN	Murata Electronics	Tape & Reel (TR)	8mm x 2mm	
742792022	732-1614-6-ND	FERRITE BEAD 220 OHM 0805 1LN			8mm x 4mm	0.183
EMIF06-MSD02N16	497-8751-6-ND	FILTER RC(PI) 45 OHM/20PF SMD			8mm x 4mm	0.63007
MLZ2012M100WT000	445-6396-1-ND	FIXED IND 10UH 350MA 470 MOHM			8mm x 4mm	0.0525
LQM2HPN2R2MG0L	490-5114-6-ND	FIXED IND 2.2UH 1.3A 100 MOHM	Murata Electronics	Digi-Reel	8mm x 4mm	
LQM2HPN2R2MG0L	490-5114-1-ND	FIXED IND 2.2UH 1.3A 100 MOHM			8mm x 4mm	0.16028
LQW15AN2N4C00D	490-6797-1-ND	FIXED IND 2.4NH 850MA 50 MOHM			8mm x 4mm	0.06615
LQW15AN2N9B00D	490-6801-1-ND	FIXED IND 2.9NH 750MA 70 MOHM			8mm x 4mm	0.0693
744045391	732-3076-1-ND	FIXED IND 390UH 110MA 13 OHM SMD			8mm x 4mm	0.612
74438323047	732-4848-6-ND	FIXED IND 4.7UH 940MA 388 MOHM			8mm x 4mm	0.996
74438323068	732-4849-6-ND	FIXED IND 6.8UH 850MA 648 MOHM			8mm x 4mm	0.996
LQW15AN8N7G00D	490-6851-1-ND	FIXED IND 8.7NH 540MA 140 MOHM			8mm x 4mm	0.0693
CBMFTS240A	RPC3567-ND	HEX STANDOFF M3 NYLON 10.5MM			NA	0.4052
25501	36-25501-ND	HEX STANDOFF M3 NYLON 10MM			NA	0.42552
CBTS085A	RPC3020-ND	HEX STANDOFF M3 NYLON 17MM			NA	0.7871
CBMFTS285A	RPC3007-ND	HEX STANDOFF M3 NYLON 17MM			NA	0.5016
CBMFTS230A	RPC2231-ND	HEX STANDOFF M3 NYLON 9MM			NA	0.3974
"NX3L1G66GM,132"	568-12417-1-ND	IC ANALOG SWITCH SPDT 6XSON				0.154
SN74LVC2G125YZPR	296-15109-6-ND	IC BUF NON-INVERT 5.5V 8DSBGA				0.5102
LTC6102CDD#PBF	LTC6102CDD#PBF-ND	IC CURR SENSE 1 CIRCUIT 8DFN				2.3635
24AA024T-I/MNY	24AA024T-I/MNYCT-ND	IC EEPROM 2K I2C 400KHZ 8TDFN				0.28
ATM90E26-YU-B	ATM90E26-YU-B-ND	IC ENERGY METER 1.8V/3V 28SSOP		Tube	Tube	1.11
MX25U12835FZ2I-10G	1092-1136-ND	IC FLASH 128M SPI 104MHZ 8WSON				1.8062
74LVC1G04FW4-7	74LVC1G04FW4-7DICT-ND	IC INVERTER 1CH 1-INP DFN1010-6				0.11272
R5F11AGJANB#20	R5F11AGJANB#20-ND	IC MCU 16BIT 256KB FLASH 48HWQFN				4.69
EFM32GG11B820F2048GQ100-B	336-5522-ND	IC MCU 32BIT 2MB FLASH 100TQFP				9.0608
EFM32GG11B420F2048GQ64-A	336-4506-ND	IC MCU 32BIT 2MB FLASH 64TQFP				8.86
R7FS7G27G3A01CFP#AA0	R7FS7G27G3A01CFP#AA0-ND	IC MCU 32BIT 3MB FLASH 100LQFP				19.0208
R7FS7G27H3A01CFC#AA0	R7FS7G27H3A01CFC#AA0-ND	IC MCU 32BIT 4MB FLASH 176LFQFP	Renesas Electronics America	Tray	Tray	
EFM8BB21F16G-C-QFN20	336-3167-5-ND	IC MCU 8BIT 16KB FLASH 20QFN				0.74
EFM8LB12F64ES1-C-QFN24	336-5844-ND	IC MCU 8BIT 24QFN				1.74
EFM8BB10F2G-A-QFN20	336-3162-5-ND	IC MCU 8BIT 2KB FLASH 20QFN				0.43
C8051F350-GQ	336-1270-ND	IC MCU 8BIT 8KB FLASH 32LQFP				6.025
LMV551MG/NOPB	LMV551MG/NOPBCT-ND	IC OPAMP GP 1 CIRCUIT SC70-5				0.4826
MCP6001T-I/LT	MCP6001T-I/LTDKR-ND	IC OPAMP GP 1 CIRCUIT SC70-5				0.218
AD8656ARMZ	AD8656ARMZ-ND	IC OPAMP GP 2 CIRCUIT 8MSOP				2.3571
